0.4148,0.1643,0.529,0.486,0.2247,0.2157,0.736,0.0677
0.2494,0.3962,0.4365,0.4849,0.1241,0.8164,0.8525,0.5903
0.4146,0.6035,0.7026,0.3162,0.4382,0.2903,0.2585,0.555
0.48,0.1054,0.1719,0.1963,0.714,0.4202,0.4182,0.3965
0.972,0.5137,0.6494,0.3389,0.07404,0.85,0.739,0.1965
0.4548,0.8813,0.961,0.2006,0.687,0.0355,0.4253,0.761
0.08856,0.747,0.201,0.6064,0.1759,0.6587,0.9653,0.3813
0.792,0.6455,0.405,0.2554,0.0878,0.3118,0.2087,0.5547
0.1304,0.951,0.00716,0.434,0.896,0.7954,0.0147,0.12335
0.4495,0.364,0.942,0.3816,0.02617,0.537,0.3062,0.3687
0.824,0.9316,0.1394,0.8623,0.5415,0.05127,0.56,0.8677
0.187,0.3035,0.2578,0.3203,0.1703,0.4878,0.5796,0.5303
0.0937,0.04355,0.09314,0.8584,0.7607,0.0807,0.987,0.8843
0.2349,0.6333,0.38,0.0559,0.7905,0.12177,0.5747,0.4846
0.3743,0.5186,0.8267,0.969,0.5454,0.3284,0.858,0.343
0.02164,0.5312,0.3005,0.5786,0.01921,0.731,0.436,0.857
0.25,0.013016,0.9053,0.366,0.878,0.5024,0.62,0.0621
0.8965,0.6084,0.8022,0.4202,0.929,0.6616,0.3303,0.537
0.7637,0.5,0.4326,0.451,0.9653,0.65,0.9697,0.07245
0.5444,0.1506,0.316,0.02502,0.66,0.5273,0.737,0.662
0.3408,0.989,0.05545,0.982,0.7114,0.767,0.9814,0.988
0.87,0.464,0.4756,0.04395,0.9688,0.3643,0.4438,0.66
0.3286,0.809,0.3652,0.3345,0.9033,0.2026,0.616,0.5513
0.1284,0.02007,0.1393,0.6304,0.002367,0.567,0.1076,0.923
0.935,0.727,0.1794,0.1937,0.722,0.191,0.11597,0.67
0.2418,0.6816,0.2524,0.3123,0.78,0.573,0.921,0.05368
0.7563,0.583,0.03653,0.01173,0.6436,0.8877,0.8,0.1509
0.00839,0.3503,0.3425,0.785,0.1459,0.1016,0.106,0.089
0.02466,0.305,0.1592,0.6436,0.638,0.976,0.8623,0.932
0.3953,0.624,0.969,0.859,0.05402,0.564,0.2732,0.01604
0.359,0.9683,0.2966,0.65,0.735,0.1298,0.716,0.939
0.4788,0.5396,0.9214,0.7134,0.0717,0.4524,0.184,0.6494
0.563,0.8813,0.044,0.559,0.5,0.0348,0.3916,0.06256
0.1372,0.3113,0.5293,0.788,0.492,0.6904,0.606,0.8027
0.9087,0.713,0.0793,0.596,0.288,0.4333,0.5747,0.4473
0.1716,0.7197,0.9614,0.2812,0.2156,0.2754,0.355,0.781
0.2898,0.0329,0.6606,0.0763,0.5894,0.9634,0.3176,0.566
0.6724,0.04602,0.7456,0.685,0.3389,0.3323,0.4954,0.4841
0.002535,0.08185,0.999,0.9395,0.4783,0.6094,0.04208,0.6816
0.2261,0.2251,0.07294,0.1199,0.96,0.2617,0.887,0.03078
0.7915,0.3042,0.082,0.8623,0.713,0.734,0.00282,0.651
0.599,0.1688,0.5356,0.3875,0.0846,0.5796,0.6426,0.5464
0.1497,0.4653,0.9976,0.215,0.10126,0.6284,0.829,0.7593
0.7354,0.4338,0.2122,0.948,0.4458,0.589,0.414,0.735
0.2213,0.1138,0.9478,0.9233,0.7754,0.5986,0.066,0.0006433
0.7617,0.6284,0.1,0.8843,0.441,0.4038,0.924,0.7026
0.5845,0.733,0.3704,0.392,0.515,0.4216,0.08624,0.4922
0.8647,0.856,0.0976,0.007557,0.9395,0.04233,0.7373,0.5737
0.04767,0.4937,0.1979,0.859,0.146,0.5806,0.305,0.7583
0.7114,0.577,0.1212,0.5806,0.818,0.9,0.653,0.7056
0.1074,0.5635,0.9106,0.4573,0.5854,0.1273,0.01949,0.4604
0.791,0.9097,0.748,0.556,0.3352,0.8574,0.328,0.8447
0.6445,0.9873,0.5234,0.1837,0.574,0.1101,0.8555,0.563
0.3794,0.503,0.544,0.445,0.1656,0.4487,0.6216,0.3672
0.7144,0.2189,0.2382,0.0795,0.0748,0.11743,0.309,0.8467
0.782,0.535,0.4587,0.779,0.03053,0.418,0.0516,0.5435
0.5254,0.1455,0.371,0.542,0.01499,0.938,0.8755,0.44
0.4617,0.1436,0.4304,0.5293,0.2583,0.83,0.0279,0.4702
0.575,0.92,0.3604,0.736,0.02988,0.001837,0.669,0.04532
0.092,0.0479,0.1197,0.1967,0.6865,0.3213,0.9614,0.4504
0.129,0.01113,0.1043,0.2411,0.8364,0.5703,0.707,0.76
0.5713,0.1617,0.55,0.2666,0.9717,0.87,0.1913,0.2783
0.09406,0.01765,0.2844,0.693,0.333,0.4397,0.5137,0.766
0.6777,0.9224,0.791,0.0969,0.5054,0.007072,0.3098,0.6553
0.7104,0.506,0.676,0.833,0.4253,0.912,0.4314,0.4377
0.628,0.3218,0.4814,0.0993,0.642,0.662,0.6475,0.4348
0.1542,0.87,0.0906,0.987,0.01949,0.81,0.914,0.9307
0.8945,0.1371,0.11865,0.6406,0.0861,0.926,0.4539,0.3125
0.98,0.6616,0.818,0.659,0.2544,0.0566,0.5903,0.7456
0.956,0.2666,0.4292,0.393,0.463,0.3503,0.2147,0.202
0.285,0.132,0.3357,0.536,0.873,0.1665,0.711,0.2566
0.06274,0.6187,0.855,0.04462,0.4324,0.05023,0.2742,0.95
0.03497,0.8604,0.0236,0.1788,0.4705,0.7983,0.2451,0.1971
0.498,0.3447,0.313,0.1504,0.1938,0.1844,0.377,0.546
0.05408,0.747,0.201,0.6064,0.1759,0.174200,0.06232,0.9673
0.2028,0.021894,0.3425,0.439700,0.1814,0.3118,0.363,0.2115
0.8228,0.291,0.2122,0.0684,0.4817,0.000000,0.572,0.12213
0.7905,0.3503,0.3425,0.785,0.145900,0.2478,0.3735,0.1768
0.05844,0.717361,0.0793,0.596,0.671,0.5312,0.8647,0.8433
0.167,0.8687,0.000000,0.9277,0.571,0.3142,0.4585,0.4084
0.597,0.4338,0.2122,0.948,0.4458,0.589,0.179600,0.3865
0.000000,0.1506,0.0871,0.3652,0.864,0.5195,0.0756,0.5884
0.911,0.793008,0.9775,0.2756,0.1627,0.522500,0.426,0.5073
0.9546,0.09015,0.7075,0.3716,0.827,0.498000,0.12067,0.3337
0.1996,0.3296,0.5693,0.1199,0.96,0.983000,0.3843,0.1829
0.888,0.3398,0.2576,0.339000,0.11316,0.3386,0.784,0.2603
0.000000,0.536,0.6104,0.6216,0.878,0.1787,0.7676,0.847
0.020690,0.1506,0.316,0.011696,0.891,0.5913,0.3484,0.593
0.7617,0.6543,0.4712,0.5356,0.1656,0.4487,0.553578,0.5273
0.883,0.1054,0.1719,0.1963,0.714,0.4202,0.573000,0.68
0.7085,0.973,0.6606,0.0763,0.5894,0.4011,0.697000,0.949
0.79,0.291,0.2122,0.076212,0.4817,0.8,0.8438,0.3628
0.3503,0.8813,0.044,0.559,0.971,0.8237,0.8823,0.978439
0.5938,0.865,0.866,0.2756,0.1627,0.940400,0.5513,0.722
0.835,0.04602,0.201,0.6064,0.1759,0.6587,0.433612,0.703600
0.9707,0.1455,0.3206,0.437,0.4412,0.556,0.7266,0.511677
0.013862,0.8306,0.38,0.0559,0.239,0.3171,0.676,0.505
0.9727,0.1054,0.1719,0.1963,0.07996,0.273600,0.4712,0.01646
0.739300,0.1307,0.6494,0.3389,0.10126,0.925,0.8506,0.68
0.0823,0.464,0.5625,0.2137,0.371,0.6904,0.616000,0.455
